project,amount,billDate,type
GE12B,-19850.0,2019-07-01,01-Vendor
GE12B,-19850.0,2019-08-01,01-Vendor
GE12B,-18916.67,2019-06-01,01-Vendor
GE12B,-17883.0,2019-03-01,01-Vendor
GE12B,-15900.0,2019-10-01,01-Vendor
GE12B,-14400.0,2018-12-01,01-Vendor
GE12B,-13233.33,2019-09-01,01-Vendor
GE12B,-10784.0,2019-03-01,01-Vendor
GE12B,-10125.0,2018-12-01,01-Vendor
GE12B,-8783.0,2019-10-01,01-Vendor
GE12B,-5419.35,2019-10-01,01-Vendor
GE12B,-4000.0,2019-07-01,01-Vendor
GE12B,-4000.0,2019-08-01,01-Vendor
GE12B,-3565.0,2019-07-01,01-Vendor
GE12B,-3028.75,2019-05-01,01-Vendor
GE12B,-2666.67,2019-09-01,01-Vendor
GE12B,94999.99840000001,2020-02-28,03-Revenue
GE12B,380000.0042,2019-07-04,03-Revenue
GE12B,475000.00260000007,2019-08-30,03-Revenue
GE13,-102600.0,2019-06-01,01-Vendor
GE13,-59200.0,2020-05-01,01-Vendor
GE13,-55248.75,2020-04-01,01-Vendor
GE13,-55125.0,2019-11-01,01-Vendor
GE13,-54450.0,2019-03-01,01-Vendor
GE13,-53550.42,2020-04-01,01-Vendor
GE13,-53550.0,2019-01-01,01-Vendor
GE13,-53145.0,2020-05-01,01-Vendor
GE13,-52593.75,2020-03-01,01-Vendor
GE13,-52402.5,2020-04-01,01-Vendor
GE13,-52312.73,2020-04-01,01-Vendor
GE13,-52098.75,2020-03-01,01-Vendor
GE13,-51356.25,2020-03-01,01-Vendor
GE13,-51300.0,2019-01-01,01-Vendor
GE13,-51232.5,2020-03-01,01-Vendor
GE13,-51070.175,2019-11-01,01-Vendor
GE13,-50737.5,2020-03-01,01-Vendor
GE13,-50670.0,2019-11-01,01-Vendor
GE13,-50670.0,2020-05-01,01-Vendor
GE13,-50539.3,2019-12-01,01-Vendor
GE13,-50186.25,2019-07-01,01-Vendor
GE13,-50051.25,2020-04-01,01-Vendor
GE13,-49938.75,2019-07-01,01-Vendor
GE13,-49927.5,2019-10-01,01-Vendor
GE13,-49680.0,2020-05-01,01-Vendor
GE13,-49583.7,2019-12-01,01-Vendor
GE13,-49275.0,2020-04-01,01-Vendor
GE13,-49159.025,2019-11-01,01-Vendor
GE13,-48948.75,2019-07-01,01-Vendor
GE13,-48937.5,2019-05-01,01-Vendor
GE13,-48937.5,2019-11-01,01-Vendor
GE13,-48813.75,2019-10-01,01-Vendor
GE13,-48633.75,2019-08-01,01-Vendor
GE13,-48375.0,2019-01-01,01-Vendor
GE13,-47823.75,2020-06-01,01-Vendor
GE13,-47767.5,2019-08-01,01-Vendor
GE13,-47700.0,2019-10-01,01-Vendor
GE13,-47587.64,2020-05-01,01-Vendor
GE13,-47340.0,2019-07-01,01-Vendor
GE13,-47081.25,2019-12-01,01-Vendor
GE13,-46901.25,2019-08-01,01-Vendor
GE13,-46698.75,2020-04-01,01-Vendor
GE13,-46091.25,2019-10-01,01-Vendor
GE13,-45967.5,2019-12-01,01-Vendor
GE13,-45899.45,2020-03-01,01-Vendor
GE13,-45720.0,2019-11-01,01-Vendor
GE13,-45607.5,2020-04-01,01-Vendor
GE13,-45348.75,2019-12-01,01-Vendor
GE13,-44977.5,2019-12-01,01-Vendor
GE13,-44887.5,2019-06-01,01-Vendor
GE13,-44775.0,2020-07-01,01-Vendor
GE13,-44741.25,2020-05-01,01-Vendor
